OCC_CODE,OCC_TITLE,TOT_EMP,2010 SOC Code,2010 SOC Title,2018 SOC Code,2018 SOC Title
49-9043,"Maintenance Workers, Machinery",56540,49-9043,"Maintenance Workers, Machinery",49-9043,"Maintenance Workers, Machinery"
49-9044,Millwrights,40660,49-9044,Millwrights,49-9044,Millwrights
49-9045,"Refractory Materials Repairers, Except Brickmasons",1100,49-9045,"Refractory Materials Repairers, Except Brickmasons",49-9045,"Refractory Materials Repairers, Except Brickmasons"
49-9051,Electrical Power-Line Installers and Repairers,123680,49-9051,Electrical Power-Line Installers and Repairers,49-9051,Electrical Power-Line Installers and Repairers
49-9052,Telecommunications Line Installers and Repairers,98360,49-9052,Telecommunications Line Installers and Repairers,49-9052,Telecommunications Line Installers and Repairers
49-9061,Camera and Photographic Equipment Repairers,2010,49-9061,Camera and Photographic Equipment Repairers,49-9061,Camera and Photographic Equipment Repairers
49-9062,Medical Equipment Repairers,60830,49-9062,Medical Equipment Repairers,49-9062,Medical Equipment Repairers
49-9063,Musical Instrument Repairers and Tuners,5730,49-9063,Musical Instrument Repairers and Tuners,49-9063,Musical Instrument Repairers and Tuners
49-9064,Watch and Clock Repairers,1300,49-9064,Watch Repairers,49-9064,Watch and Clock Repairers
49-9069,"Precision Instrument and Equipment Repairers, All Other",9680,49-9069,"Precision Instrument and Equipment Repairers, All Other",49-9069,"Precision Instrument and Equipment Repairers, All Other"
49-9071,"Maintenance and Repair Workers, General",1531700,49-9071,"Maintenance and Repair Workers, General",49-9071,"Maintenance and Repair Workers, General"
49-9081,Wind Turbine Service Technicians,11220,49-9081,Wind Turbine Service Technicians,49-9081,Wind Turbine Service Technicians
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",28260,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers"
49-9092,Commercial Divers,3430,49-9092,Commercial Divers,49-9092,Commercial Divers
49-9094,Locksmiths and Safe Repairers,15550,49-9094,Locksmiths and Safe Repairers,49-9094,Locksmiths and Safe Repairers
49-9095,Manufactured Building and Mobile Home Installers,2610,49-9095,Manufactured Building and Mobile Home Installers,49-9095,Manufactured Building and Mobile Home Installers
49-9096,Riggers,24190,49-9096,Riggers,49-9096,Riggers
49-9097,Signal and Track Switch Repairers,8210,49-9097,Signal and Track Switch Repairers,49-9097,Signal and Track Switch Repairers
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",97540,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",49-9098,"Helpers--Installation, Maintenance, and Repair Workers"
49-9099,"Installation, Maintenance, and Repair Workers, All Other",183690,49-9093,"Fabric Menders, Except Garment",49-9099,"Installation, Maintenance, and Repair Workers, All Other (##)"
49-9099,"Installation, Maintenance, and Repair Workers, All Other",183690,49-9099,"Installation, Maintenance, and Repair Workers, All Other",49-9099,"Installation, Maintenance, and Repair Workers, All Other (##)"
51-1011,First-Line Supervisors of Production and Operating Workers,685140,51-1011,First-Line Supervisors of Production and Operating Workers,51-1011,First-Line Supervisors of Production and Operating Workers
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",32890,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
51-2021,"Coil Winders, Tapers, and Finishers",12170,51-2021,"Coil Winders, Tapers, and Finishers",51-2021,"Coil Winders, Tapers, and Finishers"
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",261140,,,,
51-2031,Engine and Other Machine Assemblers,38420,51-2031,Engine and Other Machine Assemblers,51-2031,Engine and Other Machine Assemblers
51-2041,Structural Metal Fabricators and Fitters,53380,51-2041,Structural Metal Fabricators and Fitters,51-2041,Structural Metal Fabricators and Fitters
51-2051,Fiberglass Laminators and Fabricators,18520,51-2091,Fiberglass Laminators and Fabricators,51-2051,Fiberglass Laminators and Fabricators
51-2061,Timing Device Assemblers and Adjusters,230,51-2093,Timing Device Assemblers and Adjusters,51-2061,Timing Device Assemblers and Adjusters
51-2090,Miscellaneous Assemblers and Fabricators,1457800,,,,
51-3011,Bakers,231890,51-3011,Bakers,51-3011,Bakers
51-3021,Butchers and Meat Cutters,140040,51-3021,Butchers and Meat Cutters,51-3021,Butchers and Meat Cutters
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",141090,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",51-3022,"Meat, Poultry, and Fish Cutters and Trimmers"
51-3023,Slaughterers and Meat Packers,67500,51-3023,Slaughterers and Meat Packers,51-3023,Slaughterers and Meat Packers
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",19500,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
51-3092,Food Batchmakers,171660,51-3092,Food Batchmakers,51-3092,Food Batchmakers
51-3093,Food Cooking Machine Operators and Tenders,27660,51-3093,Food Cooking Machine Operators and Tenders,51-3093,Food Cooking Machine Operators and Tenders
51-3099,"Food Processing Workers, All Other",57920,51-3099,"Food Processing Workers, All Other",51-3099,"Food Processing Workers, All Other"
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",65700,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",8760,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",22350,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",174430,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",5310,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",70110,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",18970,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",13810,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4041,Machinists,298790,51-4041,Machinists,51-4041,Machinists
51-4051,Metal-Refining Furnace Operators and Tenders,20330,51-4051,Metal-Refining Furnace Operators and Tenders,51-4051,Metal-Refining Furnace Operators and Tenders
51-4052,"Pourers and Casters, Metal",5830,51-4052,"Pourers and Casters, Metal",51-4052,"Pourers and Casters, Metal"
51-4061,"Model Makers, Metal and Plastic",3230,51-4061,"Model Makers, Metal and Plastic",51-4061,"Model Makers, Metal and Plastic"
51-4062,"Patternmakers, Metal and Plastic",1570,51-4062,"Patternmakers, Metal and Plastic",51-4062,"Patternmakers, Metal and Plastic"
51-4071,Foundry Mold and Coremakers,12720,51-4071,Foundry Mold and Coremakers,51-4071,Foundry Mold and Coremakers
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",154820,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",129850,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4111,Tool and Die Makers,55130,51-4111,Tool and Die Makers,51-4111,Tool and Die Makers
51-4121,"Welders, Cutters, Solderers, and Brazers",424040,51-4121,"Welders, Cutters, Solderers, and Brazers",51-4121,"Welders, Cutters, Solderers, and Brazers"
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",36290,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",14590,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
51-4192,"Layout Workers, Metal and Plastic",5610,51-4192,"Layout Workers, Metal and Plastic",51-4192,"Layout Workers, Metal and Plastic"
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",31510,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4194,"Tool Grinders, Filers, and Sharpeners",5730,51-4194,"Tool Grinders, Filers, and Sharpeners",51-4194,"Tool Grinders, Filers, and Sharpeners"
51-4199,"Metal Workers and Plastic Workers, All Other",20270,51-4199,"Metal Workers and Plastic Workers, All Other",51-4199,"Metal Workers and Plastic Workers, All Other"
51-5111,Prepress Technicians and Workers,23070,51-5111,Prepress Technicians and Workers,51-5111,Prepress Technicians and Workers
51-5112,Printing Press Operators,145110,51-5112,Printing Press Operators,51-5112,Printing Press Operators
51-5113,Print Binding and Finishing Workers,36470,51-5113,Print Binding and Finishing Workers,51-5113,Print Binding and Finishing Workers
51-6011,Laundry and Dry-Cleaning Workers,195360,51-6011,Laundry and Dry-Cleaning Workers,51-6011,Laundry and Dry-Cleaning Workers
51-6021,"Pressers, Textile, Garment, and Related Materials",26830,51-6021,"Pressers, Textile, Garment, and Related Materials",51-6021,"Pressers, Textile, Garment, and Related Materials"
51-6031,Sewing Machine Operators,109590,51-6031,Sewing Machine Operators,51-6031,Sewing Machine Operators
51-6041,Shoe and Leather Workers and Repairers,7640,51-6041,Shoe and Leather Workers and Repairers,51-6041,Shoe and Leather Workers and Repairers
51-6042,Shoe Machine Operators and Tenders,3270,51-6042,Shoe Machine Operators and Tenders,51-6042,Shoe Machine Operators and Tenders
51-6051,"Sewers, Hand",2240,51-6051,"Sewers, Hand",51-6051,"Sewers, Hand"
51-6052,"Tailors, Dressmakers, and Custom Sewers",16290,51-6052,"Tailors, Dressmakers, and Custom Sewers",51-6052,"Tailors, Dressmakers, and Custom Sewers"
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,5820,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",8960,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",51-6062,"Textile Cutting Machine Setters, Operators, and Tenders"
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",14530,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",20600,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",14900,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
51-6092,Fabric and Apparel Patternmakers,2860,51-6092,Fabric and Apparel Patternmakers,51-6092,Fabric and Apparel Patternmakers
51-6093,Upholsterers,20990,51-6093,Upholsterers,51-6093,Upholsterers
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",14450,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",51-6099,"Textile, Apparel, and Furnishings Workers, All Other"
51-7011,Cabinetmakers and Bench Carpenters,79540,51-7011,Cabinetmakers and Bench Carpenters,51-7011,Cabinetmakers and Bench Carpenters
51-7021,Furniture Finishers,14230,51-7021,Furniture Finishers,51-7021,Furniture Finishers
51-7031,"Model Makers, Wood",360,51-7031,"Model Makers, Wood",51-7031,"Model Makers, Wood"
51-7032,"Patternmakers, Wood",180,51-7032,"Patternmakers, Wood",51-7032,"Patternmakers, Wood"
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",43140,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",63350,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
51-7099,"Woodworkers, All Other",6590,51-7099,"Woodworkers, All Other",51-7099,"Woodworkers, All Other"
51-8011,Nuclear Power Reactor Operators,5720,51-8011,Nuclear Power Reactor Operators,51-8011,Nuclear Power Reactor Operators
51-8012,Power Distributors and Dispatchers,9180,51-8012,Power Distributors and Dispatchers,51-8012,Power Distributors and Dispatchers
51-8013,Power Plant Operators,30720,51-8013,Power Plant Operators,51-8013,Power Plant Operators
51-8021,Stationary Engineers and Boiler Operators,30780,51-8021,Stationary Engineers and Boiler Operators,51-8021,Stationary Engineers and Boiler Operators
51-8031,Water and Wastewater Treatment Plant and System Operators,126750,51-8031,Water and Wastewater Treatment Plant and System Operators,51-8031,Water and Wastewater Treatment Plant and System Operators
51-8091,Chemical Plant and System Operators,17840,51-8091,Chemical Plant and System Operators,51-8091,Chemical Plant and System Operators
51-8092,Gas Plant Operators,15910,51-8092,Gas Plant Operators,51-8092,Gas Plant Operators
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",34860,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
51-8099,"Plant and System Operators, All Other",15950,51-8099,"Plant and System Operators, All Other",51-8099,"Plant and System Operators, All Other"
51-9011,Chemical Equipment Operators and Tenders,127410,51-9011,Chemical Equipment Operators and Tenders,51-9011,Chemical Equipment Operators and Tenders
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",54200,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",28550,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
51-9022,"Grinding and Polishing Workers, Hand",11850,51-9022,"Grinding and Polishing Workers, Hand",51-9022,"Grinding and Polishing Workers, Hand"
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",100840,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
51-9031,"Cutters and Trimmers, Hand",7070,51-9031,"Cutters and Trimmers, Hand",51-9031,"Cutters and Trimmers, Hand"
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",47540,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",57310,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",16160,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",591180,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
51-9071,Jewelers and Precious Stone and Metal Workers,23420,51-9071,Jewelers and Precious Stone and Metal Workers,51-9071,Jewelers and Precious Stone and Metal Workers
51-9081,Dental Laboratory Technicians,33920,51-9081,Dental Laboratory Technicians,51-9081,Dental Laboratory Technicians
51-9082,Medical Appliance Technicians,11490,51-9082,Medical Appliance Technicians,51-9082,Medical Appliance Technicians
51-9083,Ophthalmic Laboratory Technicians,18740,51-9083,Ophthalmic Laboratory Technicians,51-9083,Ophthalmic Laboratory Technicians
51-9111,Packaging and Filling Machine Operators and Tenders,383860,51-9111,Packaging and Filling Machine Operators and Tenders,51-9111,Packaging and Filling Machine Operators and Tenders
51-9123,"Painting, Coating, and Decorating Workers",8470,51-9123,"Painting, Coating, and Decorating Workers",51-9123,"Painting, Coating, and Decorating Workers"
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",159500,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (##)"
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",159500,51-9122,"Painters, Transportation Equipment",51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (##)"
51-9141,Semiconductor Processing Technicians,32150,51-9141,Semiconductor Processors,51-9141,Semiconductor Processing Technicians
51-9151,Photographic Process Workers and Processing Machine Operators,5550,51-9151,Photographic Process Workers and Processing Machine Operators,51-9151,Photographic Process Workers and Processing Machine Operators
51-9161,Computer Numerically Controlled Tool Operators,176950,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",51-9161,Computer Numerically Controlled Tool Operators (##)
51-9161,Computer Numerically Controlled Tool Operators,176950,51-9199,"Production Workers, All Other (#)",51-9161,Computer Numerically Controlled Tool Operators (##)
51-9162,Computer Numerically Controlled Tool Programmers,28230,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51-9162,Computer Numerically Controlled Tool Programmers (##)
51-9162,Computer Numerically Controlled Tool Programmers,28230,51-9199,"Production Workers, All Other (#)",51-9162,Computer Numerically Controlled Tool Programmers (##)
51-9191,Adhesive Bonding Machine Operators and Tenders,12170,51-9191,Adhesive Bonding Machine Operators and Tenders,51-9191,Adhesive Bonding Machine Operators and Tenders
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",13890,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
51-9193,Cooling and Freezing Equipment Operators and Tenders,6590,51-9193,Cooling and Freezing Equipment Operators and Tenders,51-9193,Cooling and Freezing Equipment Operators and Tenders
51-9194,Etchers and Engravers,8390,51-9194,Etchers and Engravers,51-9194,Etchers and Engravers
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",34750,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",96950,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",51-9196,"Paper Goods Machine Setters, Operators, and Tenders"
51-9197,Tire Builders,20970,51-9197,Tire Builders,51-9197,Tire Builders
51-9198,Helpers--Production Workers,167490,51-9198,Helpers--Production Workers,51-9198,Helpers--Production Workers
51-9199,"Production Workers, All Other",277060,51-9199,"Production Workers, All Other (#)",51-9199,"Production Workers, All Other"
53-1041,Aircraft Cargo Handling Supervisors,10160,53-1011,Aircraft Cargo Handling Supervisors,53-1041,Aircraft Cargo Handling Supervisors
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",605510,,,,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",99300,53-2011,"Airline Pilots, Copilots, and Flight Engineers",53-2011,"Airline Pilots, Copilots, and Flight Engineers"
53-2012,Commercial Pilots,51830,53-2012,Commercial Pilots,53-2012,Commercial Pilots
53-2021,Air Traffic Controllers,22400,53-2021,Air Traffic Controllers,53-2021,Air Traffic Controllers
53-2022,Airfield Operations Specialists,16640,53-2022,Airfield Operations Specialists,53-2022,Airfield Operations Specialists
53-2031,Flight Attendants,130110,53-2031,Flight Attendants,53-2031,Flight Attendants
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",12080,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
53-3031,Driver/Sales Workers,417420,53-3031,Driver/Sales Workers,53-3031,Driver/Sales Workers
53-3032,Heavy and Tractor-Trailer Truck Drivers,2070480,53-3032,Heavy and Tractor-Trailer Truck Drivers,53-3032,Heavy and Tractor-Trailer Truck Drivers
53-3033,Light Truck Drivers,994410,53-3033,Light Truck or Delivery Services Drivers,53-3033,Light Truck Drivers
53-3051,"Bus Drivers, School",387920,53-3022,"Bus Drivers, School or Special Client (#)",53-3051,"Bus Drivers, School"
53-3052,"Bus Drivers, Transit and Intercity",148980,53-3021,"Bus Drivers, Transit and Intercity",53-3052,"Bus Drivers, Transit and Intercity"
53-3053,Shuttle Drivers and Chauffeurs,229630,53-3022,"Bus Drivers, School or Special Client (#)",53-3053,Shuttle Drivers and Chauffeurs (##)
53-3053,Shuttle Drivers and Chauffeurs,229630,53-3041,Taxi Drivers and Chauffeurs (#),53-3053,Shuttle Drivers and Chauffeurs (##)
53-3054,Taxi Drivers,17510,53-3041,Taxi Drivers and Chauffeurs (#),53-3054,Taxi Drivers
53-3099,"Motor Vehicle Operators, All Other",50330,53-3099,"Motor Vehicle Operators, All Other",53-3099,"Motor Vehicle Operators, All Other"
53-4011,Locomotive Engineers,31990,53-4011,Locomotive Engineers,53-4011,Locomotive Engineers
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",3300,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",12460,53-4012,Locomotive Firers,53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers (##)"
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",12460,53-4021,"Railroad Brake, Signal, and Switch Operators",53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers (##)"
53-4031,Railroad Conductors and Yardmasters,42710,53-4031,Railroad Conductors and Yardmasters,53-4031,Railroad Conductors and Yardmasters
53-4041,Subway and Streetcar Operators,9200,53-4041,Subway and Streetcar Operators,53-4041,Subway and Streetcar Operators
53-4099,"Rail Transportation Workers, All Other",1520,53-4099,"Rail Transportation Workers, All Other",53-4099,"Rail Transportation Workers, All Other"
53-5011,Sailors and Marine Oilers,31360,53-5011,Sailors and Marine Oilers,53-5011,Sailors and Marine Oilers
53-5021,"Captains, Mates, and Pilots of Water Vessels",35390,53-5021,"Captains, Mates, and Pilots of Water Vessels",53-5021,"Captains, Mates, and Pilots of Water Vessels"
53-5022,Motorboat Operators,2380,53-5022,Motorboat Operators,53-5022,Motorboat Operators
53-5031,Ship Engineers,8580,53-5031,Ship Engineers,53-5031,Ship Engineers
53-6011,Bridge and Lock Tenders,2720,53-6011,Bridge and Lock Tenders,53-6011,Bridge and Lock Tenders
53-6021,Parking Attendants,134650,53-6021,Parking Lot Attendants,53-6021,Parking Attendants
53-6031,Automotive and Watercraft Service Attendants,98270,53-6031,Automotive and Watercraft Service Attendants,53-6031,Automotive and Watercraft Service Attendants
53-6032,Aircraft Service Attendants,27310,53-6099,"Transportation Workers, All Other (#)",53-6032,Aircraft Service Attendants
53-6041,Traffic Technicians,7580,53-6041,Traffic Technicians,53-6041,Traffic Technicians
53-6051,Transportation Inspectors,23320,53-6051,Transportation Inspectors,53-6051,Transportation Inspectors
53-6061,Passenger Attendants,25340,53-6061,"Transportation Attendants, Except Flight Attendants",53-6061,Passenger Attendants
53-6099,"Transportation Workers, All Other",10960,53-6099,"Transportation Workers, All Other (#)",53-6099,"Transportation Workers, All Other"
53-7011,Conveyor Operators and Tenders,26060,53-7011,Conveyor Operators and Tenders,53-7011,Conveyor Operators and Tenders
53-7021,Crane and Tower Operators,42000,53-7021,Crane and Tower Operators,53-7021,Crane and Tower Operators
53-7031,Dredge Operators,1030,53-7031,Dredge Operators,53-7031,Dredge Operators
53-7041,Hoist and Winch Operators,2480,53-7041,Hoist and Winch Operators,53-7041,Hoist and Winch Operators
53-7051,Industrial Truck and Tractor Operators,805770,53-7051,Industrial Truck and Tractor Operators,53-7051,Industrial Truck and Tractor Operators
53-7061,Cleaners of Vehicles and Equipment,373960,53-7061,Cleaners of Vehicles and Equipment,53-7061,Cleaners of Vehicles and Equipment
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2982530,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand"
53-7063,Machine Feeders and Offbearers,46690,53-7063,Machine Feeders and Offbearers,53-7063,Machine Feeders and Offbearers
53-7064,"Packers and Packagers, Hand",601440,53-7064,"Packers and Packagers, Hand",53-7064,"Packers and Packagers, Hand"
53-7065,Stockers and Order Fillers,2779530,43-5081,Stock Clerks and Order Fillers,53-7065,Stockers and Order Fillers
53-7071,Gas Compressor and Gas Pumping Station Operators,5110,53-7071,Gas Compressor and Gas Pumping Station Operators,53-7071,Gas Compressor and Gas Pumping Station Operators
53-7072,"Pump Operators, Except Wellhead Pumpers",12600,53-7072,"Pump Operators, Except Wellhead Pumpers",53-7072,"Pump Operators, Except Wellhead Pumpers"
53-7073,Wellhead Pumpers,17350,53-7073,Wellhead Pumpers,53-7073,Wellhead Pumpers
53-7081,Refuse and Recyclable Material Collectors,139180,53-7081,Refuse and Recyclable Material Collectors,53-7081,Refuse and Recyclable Material Collectors
53-7121,"Tank Car, Truck, and Ship Loaders",10920,53-7121,"Tank Car, Truck, and Ship Loaders",53-7121,"Tank Car, Truck, and Ship Loaders"
53-7199,"Material Moving Workers, All Other",25190,53-7032,Excavating and Loading Machine and Dragline Operators (#),53-7199,"Material Moving Workers, All Other (##)"
53-7199,"Material Moving Workers, All Other",25190,53-7199,"Material Moving Workers, All Other",53-7199,"Material Moving Workers, All Other (##)"
